dr_asset_id,dr_discharge,dr_jurisdiction,dr_lat,dr_lon,dr_owner,dr_subtype,dr_subwatershed,dr_type
VC_206,Lower Thornapple River,Village of Caledonia,42.8013297137,-85.5084522553,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_93,Lower Thornapple River,Village of Caledonia,42.7931250392,-85.5085417881,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_205,Lower Thornapple River,Village of Caledonia,42.801329754,-85.5085581124,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_185,Lower Thornapple River,Village of Caledonia,42.7977083073,-85.5085689939,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_199,Lower Thornapple River,Village of Caledonia,42.800412631,-85.5085848893,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_194,Lower Thornapple River,Village of Caledonia,42.7991069921,-85.5086609774,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_94,Lower Thornapple River,Village of Caledonia,42.7901563,-85.5086950956,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_197,Lower Thornapple River,Village of Caledonia,42.800192250900004,-85.5087898162,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_198,Lower Thornapple River,Village of Caledonia,42.8003988594,-85.5088097517,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_170,Lower Thornapple River,Village of Caledonia,42.7974121751,-85.5088208223,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_169,Lower Thornapple River,Village of Caledonia,42.7974847037,-85.508823765,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_208,Lower Thornapple River,Village of Caledonia,42.802318505900004,-85.5088427407,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_62,Lower Thornapple River,Village of Caledonia,42.793379899899996,-85.5089662884,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_34,Lower Thornapple River,Village of Caledonia,42.7982442303,-85.5090587016,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_148,Lower Thornapple River,Village of Caledonia,42.794703338299996,-85.5090894894,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_30810,Lower Thornapple River,Village of Caledonia,42.7896063835,-85.5090950017,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_95,Lower Thornapple River,Village of Caledonia,42.7900114094,-85.509111124,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_46,Lower Thornapple River,Village of Caledonia,42.7894094016,-85.5092022205,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_214,Lower Thornapple River,Village of Caledonia,42.8006709833,-85.50927570729999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_182,Lower Thornapple River,Village of Caledonia,42.7974016599,-85.5093565392,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_183,Lower Thornapple River,Village of Caledonia,42.7974768488,-85.5093654452,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_177,Lower Thornapple River,Village of Caledonia,42.7966856601,-85.50936599949999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_32180,Lower Thornapple River,Village of Caledonia,42.7970708975,-85.5093741281,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_147,Lower Thornapple River,Village of Caledonia,42.795061479699996,-85.50946344100001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_63,Lower Thornapple River,Village of Caledonia,42.7937346998,-85.509569961,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_32370,Lower Thornapple River,Village of Caledonia,42.79831623,-85.5096297093,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_180,Lower Thornapple River,Village of Caledonia,42.7973143648,-85.50977767090001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_96,Lower Thornapple River,Village of Caledonia,42.7902071843,-85.50982672399999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_48,Lower Thornapple River,Village of Caledonia,42.7893941563,-85.5099751378,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_47,Lower Thornapple River,Village of Caledonia,42.7892978713,-85.50997684640001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_181,Lower Thornapple River,Village of Caledonia,42.7973255271,-85.5099915223,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_146,Lower Thornapple River,Village of Caledonia,42.794867134099995,-85.5101333498,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_217,Lower Thornapple River,Village of Caledonia,42.8007403999,-85.5102738825,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_215,Lower Thornapple River,Village of Caledonia,42.8005720982,-85.5102798292,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_98,Lower Thornapple River,Village of Caledonia,42.7902944668,-85.5103272497,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_97,Lower Thornapple River,Village of Caledonia,42.7901965121,-85.51034025050001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_189,Lower Thornapple River,Village of Caledonia,42.798503134899995,-85.5103506288,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_227,Lower Thornapple River,Village of Caledonia,42.7997239188,-85.5103885476,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_190,Lower Thornapple River,Village of Caledonia,42.7985732127,-85.51043888390001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_216,Lower Thornapple River,Village of Caledonia,42.8006717578,-85.51046204640001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_226,Lower Thornapple River,Village of Caledonia,42.799677074099996,-85.510484366,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_50,Lower Thornapple River,Village of Caledonia,42.7893843658,-85.5105477713,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_100,Lower Thornapple River,Village of Caledonia,42.790296736900004,-85.510580595,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_106,Lower Thornapple River,Village of Caledonia,42.7903442483,-85.5105959735,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_49,Lower Thornapple River,Village of Caledonia,42.7892879117,-85.5106036223,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_108,Lower Thornapple River,Village of Caledonia,42.7913139517,-85.5106269871,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_99,Lower Thornapple River,Village of Caledonia,42.790191061,-85.5106543922,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_105,Lower Thornapple River,Village of Caledonia,42.7903414115,-85.5107294622,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_107,Lower Thornapple River,Village of Caledonia,42.7913051079,-85.5107590186,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_101,Lower Thornapple River,Village of Caledonia,42.7902876434,-85.51078641810001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_224,Lower Thornapple River,Village of Caledonia,42.8023671014,-85.5112911476,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_223,Lower Thornapple River,Village of Caledonia,42.802391393600004,-85.5113986148,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_222,Lower Thornapple River,Village of Caledonia,42.8016045777,-85.5114517257,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_220,Lower Thornapple River,Village of Caledonia,42.8014686869,-85.5114880264,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_219,Lower Thornapple River,Village of Caledonia,42.800737557800005,-85.511498834,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_221,Lower Thornapple River,Village of Caledonia,42.8015581226,-85.51161895770001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_218,Lower Thornapple River,Village of Caledonia,42.8006107016,-85.5116854812,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_2,Lower Thornapple River,Village of Caledonia,42.7864312623,-85.511728122,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_7,Lower Thornapple River,Village of Caledonia,42.7871185694,-85.5117356604,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_9,Lower Thornapple River,Village of Caledonia,42.7877266404,-85.5117419386,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_27,Lower Thornapple River,Village of Caledonia,42.7883910172,-85.5117472472,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_54,Lower Thornapple River,Village of Caledonia,42.7891929291,-85.5117537327,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_52,Lower Thornapple River,Village of Caledonia,42.7894384362,-85.5117554159,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_1,Lower Thornapple River,Village of Caledonia,42.7864304623,-85.5118562369,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_4,Lower Thornapple River,Village of Caledonia,42.7868378881,-85.5118609828,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_6,Lower Thornapple River,Village of Caledonia,42.7871518399,-85.5118749662,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_8,Lower Thornapple River,Village of Caledonia,42.7877220685,-85.51187538960002,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_10,Lower Thornapple River,Village of Caledonia,42.7883062957,-85.51187958109999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_11,Lower Thornapple River,Village of Caledonia,42.788489261500004,-85.5118814922,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_55,Lower Thornapple River,Village of Caledonia,42.7891880227,-85.511887144,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_53,Lower Thornapple River,Village of Caledonia,42.7894385424,-85.5118896879,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_13,Lower Thornapple River,Village of Caledonia,42.7884534128,-85.5120060839,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_12,Lower Thornapple River,Village of Caledonia,42.7883689359,-85.51200976279999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_228,Lower Thornapple River,Village of Caledonia,42.8004546351,-85.5120274375,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_229,Lower Thornapple River,Village of Caledonia,42.8005233775,-85.51205528930001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_102,Lower Thornapple River,Village of Caledonia,42.7901668318,-85.5121497494,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_103,Lower Thornapple River,Village of Caledonia,42.7903245623,-85.512164449,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_258,Lower Thornapple River,Village of Caledonia,42.7983819229,-85.5121800062,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_65,Lower Thornapple River,Village of Caledonia,42.7921937809,-85.5122242575,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_254,Lower Thornapple River,Village of Caledonia,42.7990767646,-85.51227381220001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_257,Lower Thornapple River,Village of Caledonia,42.7983794115,-85.5122898324,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_57,Lower Thornapple River,Village of Caledonia,42.7893540706,-85.5122953774,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_104,Lower Thornapple River,Village of Caledonia,42.7903334014,-85.5122978183,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_56,Lower Thornapple River,Village of Caledonia,42.7892592527,-85.512300366,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_66,Lower Thornapple River,Village of Caledonia,42.7922234517,-85.5123542714,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_255,Lower Thornapple River,Village of Caledonia,42.7989933121,-85.5124241459,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_256,Lower Thornapple River,Village of Caledonia,42.7990863247,-85.5124841903,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_230,Lower Thornapple River,Village of Caledonia,42.8002158875,-85.5127720245,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_260,Lower Thornapple River,Village of Caledonia,42.7979173683,-85.5127811345,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_259,Lower Thornapple River,Village of Caledonia,42.7979962451,-85.5128184896,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_231,Lower Thornapple River,Village of Caledonia,42.8004242238,-85.51285459420002,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_239,Lower Thornapple River,Village of Caledonia,42.8015946783,-85.5128815862,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_242,Lower Thornapple River,Village of Caledonia,42.8024653403,-85.5128984705,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_241,Lower Thornapple River,Village of Caledonia,42.8023862815,-85.51293648939999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_240,Lower Thornapple River,Village of Caledonia,42.8016068329,-85.5129754411,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_17,Lower Thornapple River,Village of Caledonia,42.7884869658,-85.5133939584,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_70,Lower Thornapple River,Village of Caledonia,42.7891574024,-85.5134223639,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_58,Lower Thornapple River,Village of Caledonia,42.7894183901,-85.51342980300001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_121,Lower Thornapple River,Village of Caledonia,42.791367303600005,-85.5134774287,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_262,Lower Thornapple River,Village of Caledonia,42.7990379794,-85.51349815180001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_122,Lower Thornapple River,Village of Caledonia,42.7915085454,-85.5135027596,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_261,Lower Thornapple River,Village of Caledonia,42.7989681655,-85.5135053429,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_71,Lower Thornapple River,Village of Caledonia,42.789158138000005,-85.5135262879,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_16,Lower Thornapple River,Village of Caledonia,42.7884683439,-85.5135308917,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_69,Lower Thornapple River,Village of Caledonia,42.7894105727,-85.5135338626,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_123,Lower Thornapple River,Village of Caledonia,42.790076373000005,-85.5135687684,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_14,Lower Thornapple River,Village of Caledonia,42.7883424667,-85.51357167319999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_15,Lower Thornapple River,Village of Caledonia,42.7884264177,-85.5136013942,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_120,Lower Thornapple River,Village of Caledonia,42.7913603831,-85.5136094699,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_237,Lower Thornapple River,Village of Caledonia,42.801028390700004,-85.51374367060001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_238,Lower Thornapple River,Village of Caledonia,42.8010970456,-85.5137705069,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_232,Lower Thornapple River,Village of Caledonia,42.800032334499996,-85.5139441961,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_6006,Lower Thornapple River,Village of Caledonia,42.7894444965,-85.5139487645,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_233,Lower Thornapple River,Village of Caledonia,42.8001018927,-85.51397594069999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_78,Lower Thornapple River,Village of Caledonia,42.7893031707,-85.5139880522,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_77,Lower Thornapple River,Village of Caledonia,42.7892054644,-85.51401842119998,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_243,Lower Thornapple River,Village of Caledonia,42.8022933336,-85.5141232842,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_244,Lower Thornapple River,Village of Caledonia,42.8022904622,-85.5142392864,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_245,Lower Thornapple River,Village of Caledonia,42.8024512015,-85.5142540463,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_18,Lower Thornapple River,Village of Caledonia,42.7882685142,-85.51460783600001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_80,Lower Thornapple River,Village of Caledonia,42.789536197,-85.5146249229,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_19,Lower Thornapple River,Village of Caledonia,42.7877797585,-85.5146613236,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_264,Lower Thornapple River,Village of Caledonia,42.7990983271,-85.5147109405,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_263,Lower Thornapple River,Village of Caledonia,42.7990240894,-85.514728113,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_20,Lower Thornapple River,Village of Caledonia,42.7878420851,-85.5147682633,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_79,Lower Thornapple River,Village of Caledonia,42.7895353556,-85.5147963667,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_810,Lower Thornapple River,Village of Caledonia,42.7897007373,-85.51486096800001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_72,Lower Thornapple River,Village of Caledonia,42.7887235575,-85.5149380561,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_76,Lower Thornapple River,Village of Caledonia,42.789333174,-85.51496364180001,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_75,Lower Thornapple River,Village of Caledonia,42.789202509,-85.5149677792,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_820,Lower Thornapple River,Village of Caledonia,42.7897047597,-85.5151049579,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_21,Lower Thornapple River,Village of Caledonia,42.7880455126,-85.51518804189999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_22,Lower Thornapple River,Village of Caledonia,42.7879785437,-85.51528320189999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_236,Lower Thornapple River,Village of Caledonia,42.8001468136,-85.5153904406,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_235,Lower Thornapple River,Village of Caledonia,42.8000765295,-85.5154160072,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_247,Lower Thornapple River,Village of Caledonia,42.8020360954,-85.5154680312,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_274,Lower Thornapple River,Village of Caledonia,42.797699182399995,-85.5154797199,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_248,Lower Thornapple River,Village of Caledonia,42.8018911668,-85.515496859,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_267,Lower Thornapple River,Village of Caledonia,42.7986370594,-85.51554372609999,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_273,Lower Thornapple River,Village of Caledonia,42.797682844899995,-85.5155852394,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_266,Lower Thornapple River,Village of Caledonia,42.7987435554,-85.5156420764,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_88,Lower Thornapple River,Village of Caledonia,42.7896862668,-85.5156426578,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
VC_249,Lower Thornapple River,Village of Caledonia,42.801953733299996,-85.5156825363,Village of Caledonia,15.0,Lower Thornapple River,Storm Water Inlet Drain
