"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35655.0","0.0"," ","City of Grand Haven DPW","45161"," ","43.0448942839","-86.2042696771","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35656.0","0.0"," ","City of Grand Haven DPW","45162"," ","43.0447980849","-86.2042705339","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35657.0","0.0"," ","City of Grand Haven DPW","45163"," ","43.0448945704","-86.2031471161","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35658.0","0.0"," ","City of Grand Haven DPW","45164"," ","43.0447997635","-86.2031466248","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35664.0","0.0"," ","City of Grand Haven DPW","45170"," ","43.0585220788","-86.2012877311","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35665.0","0.0"," ","City of Grand Haven DPW","45171"," ","43.0585935805","-86.2020999614","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35666.0","0.0"," ","City of Grand Haven DPW","45172"," ","43.0585118896","-86.2020903304","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35667.0","0.0"," ","City of Grand Haven DPW","45173"," ","43.0585873219","-86.2032671441","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35668.0","0.0"," ","City of Grand Haven DPW","45174"," ","43.0584948727","-86.2032633599","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35669.0","0.0"," ","City of Grand Haven DPW","45175"," ","43.0584467906","-86.2033301789","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35670.0","0.0"," ","City of Grand Haven DPW","45176"," ","43.0584496583","-86.2034590071","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35671.0","0.0"," ","City of Grand Haven DPW","45177"," ","43.0584926","-86.2035238797","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35672.0","0.0"," ","City of Grand Haven DPW","45178"," ","43.0585872563","-86.2035318675","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35673.0","0.0"," ","City of Grand Haven DPW","45179"," ","43.0576611754","-86.2048647339","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35674.0","0.0"," ","City of Grand Haven DPW","45180"," ","43.0575629364","-86.2048359091","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35675.0","0.0"," ","City of Grand Haven DPW","45181"," ","43.0594958007","-86.2034292448","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35676.0","0.0"," ","City of Grand Haven DPW","45182"," ","43.0595520349","-86.2033656132","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35677.0","0.0"," ","City of Grand Haven DPW","45183"," ","43.0595530514","-86.2032410296","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35678.0","0.0"," ","City of Grand Haven DPW","45184"," ","43.0593508011","-86.203360291","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35679.0","0.0"," ","City of Grand Haven DPW","45185"," ","43.0593797789","-86.2035037596","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35680.0","0.0"," ","City of Grand Haven DPW","45187"," ","43.0594312212","-86.1996408422","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35681.0","0.0"," ","City of Grand Haven DPW","45188"," ","43.0577094772","-86.1989598544","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
