FID,StrType,JURISDICTI,OWNER,Source,LOCAL_ID,FACILITYID,Lat,Long,Subbasin
0,15,Village of Caledonia,Village of Caledonia,Village of Caledonia,,C252,42.7427204491,-85.4147974205,Lower Thornapple River
1,15,Village of Caledonia,Village of Caledonia,Village of Caledonia,,C253,42.7427204491,-85.4147974205,Lower Thornapple River
2,15,Village of Caledonia,Village of Caledonia,Village of Caledonia,,C268,42.7427204491,-85.4147974205,Lower Thornapple River
