"FID","SUBTYPE","JURISDICTI","OWNER","Source","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"122.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C100","42.7902967369","-85.510580595","Lower Thornapple River"
"123.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C099","42.790191061","-85.5106543922","Lower Thornapple River"
"124.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C105","42.7903414115","-85.5107294622","Lower Thornapple River"
"125.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C101","42.7902876434","-85.5107864181","Lower Thornapple River"
"126.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C103","42.7903245623","-85.512164449","Lower Thornapple River"
"127.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C104","42.7903334014","-85.5122978183","Lower Thornapple River"
"128.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C102","42.7901668318","-85.5121497494","Lower Thornapple River"
"129.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C053","42.7894385424","-85.5118896879","Lower Thornapple River"
"130.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C052","42.7894384362","-85.5117554159","Lower Thornapple River"
"131.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C055","42.7891880227","-85.511887144","Lower Thornapple River"
"132.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C054","42.7891929291","-85.5117537327","Lower Thornapple River"
"133.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C057","42.7893540706","-85.5122953774","Lower Thornapple River"
"134.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C056","42.7892592527","-85.512300366","Lower Thornapple River"
"135.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C049","42.7892879117","-85.5106036223","Lower Thornapple River"
"136.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C050","42.7893843658","-85.5105477713","Lower Thornapple River"
"137.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C048","42.7893941563","-85.5099751378","Lower Thornapple River"
"138.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C047","42.7892978713","-85.5099768464","Lower Thornapple River"
"139.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C094","42.7901563","-85.5086950956","Lower Thornapple River"
"140.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C046","42.7894094016","-85.5092022205","Lower Thornapple River"
"141.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C039","42.7880934984","-85.507276637","Lower Thornapple River"
"142.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C038","42.7879203167","-85.5074267461","Lower Thornapple River"
"143.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C027","42.7883910172","-85.5117472472","Lower Thornapple River"
"144.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C010","42.7883062957","-85.5118795811","Lower Thornapple River"
"145.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C012","42.7883689359","-85.5120097628","Lower Thornapple River"
"146.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C013","42.7884534128","-85.5120060839","Lower Thornapple River"
"147.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C011","42.7884892615","-85.5118814922","Lower Thornapple River"
"148.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C008","42.7877220685","-85.5118753896","Lower Thornapple River"
"149.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C009","42.7877266404","-85.5117419386","Lower Thornapple River"
"150.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C006","42.7871518399","-85.5118749662","Lower Thornapple River"
"151.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C004","42.7868378881","-85.5118609828","Lower Thornapple River"
"152.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C001","42.7864304623","-85.5118562369","Lower Thornapple River"
"153.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C002","42.7864312623","-85.511728122","Lower Thornapple River"
"154.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C007","42.7871185694","-85.5117356604","Lower Thornapple River"
"155.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C018","42.7882685142","-85.514607836","Lower Thornapple River"
"156.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C072","42.7887235575","-85.5149380561","Lower Thornapple River"
"157.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C017","42.7884869658","-85.5133939584","Lower Thornapple River"
"158.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C016","42.7884683439","-85.5135308917","Lower Thornapple River"
"159.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C015","42.7884264177","-85.5136013942","Lower Thornapple River"
"160.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C014","42.7883424667","-85.5135716732","Lower Thornapple River"
"161.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C070","42.7891574024","-85.5134223639","Lower Thornapple River"
"162.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C071","42.789158138","-85.5135262879","Lower Thornapple River"
"163.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C069","42.7894105727","-85.5135338626","Lower Thornapple River"
"164.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C058","42.7894183901","-85.513429803","Lower Thornapple River"
"165.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C078","42.7893031707","-85.5139880522","Lower Thornapple River"
"166.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","6006","42.7894444965","-85.5139487645","Lower Thornapple River"
"167.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C077","42.7892054644","-85.5140184212","Lower Thornapple River"
"168.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C123","42.790076373","-85.5135687684","Lower Thornapple River"
"169.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C024","42.7886357629","-85.5161645198","Lower Thornapple River"
"170.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C025","42.7886437061","-85.516429104","Lower Thornapple River"
"171.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C137","42.7887175862","-85.5177387442","Lower Thornapple River"
"172.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C138","42.7887126522","-85.5179954045","Lower Thornapple River"
"173.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C139","42.788607721","-85.5183638856","Lower Thornapple River"
"174.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C141","42.7885959599","-85.5191680796","Lower Thornapple River"
"175.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C142","42.7885995997","-85.5189192168","Lower Thornapple River"
"176.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C144","42.788097716","-85.5189898901","Lower Thornapple River"
"177.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C145","42.7880948242","-85.5190774882","Lower Thornapple River"
"178.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C131","42.7890919592","-85.5177934764","Lower Thornapple River"
"179.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C130","42.7890927518","-85.5179033107","Lower Thornapple River"
"180.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C129","42.7892569943","-85.51799262","Lower Thornapple River"
"181.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C127","42.7892337054","-85.519308767","Lower Thornapple River"
